Operation,Rows,Speed
Insert,10,117.282 ms
Insert,10,98.312 ms
Insert,10,99.878 ms
Insert,10,99.339 ms
Insert,10,99.504 ms
Insert,10,109.608 ms
Insert,10,99.418 ms
Insert,10,99.860 ms
Insert,10,99.159 ms
Insert,10,99.975 ms
Insert,10,110.427 ms
Insert,10,98.692 ms
Insert,10,100.236 ms
Insert,10,99.571 ms
Insert,10,110.049 ms
Insert,10,99.155 ms
Insert,10,99.414 ms
Insert,10,99.975 ms
Insert,10,100.005 ms
Insert,10,109.139 ms
Insert,10,110.463 ms
Insert,10,109.228 ms
Insert,10,99.470 ms
Insert,10,100.256 ms
Insert,10,99.136 ms
Insert,10,100.005 ms
Insert,10,99.205 ms
Insert,10,99.488 ms
Insert,10,109.512 ms
Insert,10,110.132 ms
Insert,10,99.878 ms
Insert,10,99.504 ms
Insert,10,119.916 ms
Insert,10,99.270 ms
Insert,10,109.860 ms
Insert,10,99.782 ms
Insert,10,99.308 ms
Insert,10,99.316 ms
Insert,10,100.203 ms
Insert,10,99.320 ms
Insert,10,100.159 ms
Insert,10,100.035 ms
Insert,10,108.875 ms
Insert,10,110.238 ms
Insert,10,109.737 ms
Insert,10,109.440 ms
Insert,10,100.103 ms
Insert,10,99.375 ms
Insert,10,99.918 ms
Insert,10,109.618 ms
Insert,10,99.181 ms
Insert,10,109.625 ms
Insert,10,109.257 ms
Insert,10,99.642 ms
Insert,10,99.976 ms
Insert,10,99.779 ms
Insert,10,109.281 ms
Insert,10,110.587 ms
Insert,10,99.113 ms
Insert,10,99.525 ms
Insert,10,100.660 ms
Insert,10,99.308 ms
Insert,10,99.618 ms
Insert,10,98.614 ms
Insert,10,109.757 ms
Insert,10,99.794 ms
Insert,10,100.409 ms
Insert,10,98.866 ms
Insert,10,109.694 ms
Insert,10,99.972 ms
Insert,10,99.784 ms
Insert,10,109.828 ms
Insert,10,99.493 ms
Insert,10,99.180 ms
Insert,10,100.044 ms
Insert,10,109.050 ms
Insert,10,99.469 ms
Insert,10,100.078 ms
Insert,10,99.465 ms
Insert,10,110.470 ms
Insert,10,99.403 ms
Insert,10,109.327 ms
Insert,10,100.179 ms
Insert,10,109.066 ms
Insert,10,100.254 ms
Insert,10,99.470 ms
Insert,10,99.862 ms
Insert,10,99.464 ms
Insert,10,109.496 ms
Insert,10,99.642 ms
Insert,10,99.394 ms
Insert,10,109.416 ms
Insert,10,100.219 ms
Insert,10,100.201 ms
Insert,10,98.760 ms
Insert,10,109.748 ms
Insert,10,109.033 ms
Insert,10,100.042 ms
Insert,10,99.406 ms
Insert,10,110.028 ms
