Operation,Rows,Speed
Read,all,80.887 ms
Read,all,61.621 ms
Read,all,59.973 ms
Read,all,60.358 ms
Read,all,49.403 ms
Read,all,58.307 ms
Read,all,60.818 ms
Read,all,49.299 ms
Read,all,59.467 ms
Read,all,49.713 ms
Read,all,50.150 ms
Read,all,60.447 ms
Read,all,49.185 ms
Read,all,49.124 ms
Read,all,50.340 ms
Read,all,60.581 ms
Read,all,58.991 ms
Read,all,49.877 ms
Read,all,59.628 ms
Read,all,49.569 ms
Read,all,49.817 ms
Read,all,60.131 ms
Read,all,59.548 ms
Read,all,49.599 ms
Read,all,61.942 ms
Read,all,58.885 ms
Read,all,48.540 ms
Read,all,59.957 ms
Read,all,59.448 ms
Read,all,60.457 ms
Read,all,59.482 ms
Read,all,59.674 ms
Read,all,49.898 ms
Read,all,50.354 ms
Read,all,49.630 ms
Read,all,49.123 ms
Read,all,59.783 ms
Read,all,51.845 ms
Read,all,58.114 ms
Read,all,49.907 ms
Read,all,49.669 ms
Read,all,59.775 ms
Read,all,50.973 ms
Read,all,59.452 ms
Read,all,59.414 ms
Read,all,49.605 ms
Read,all,59.452 ms
Read,all,60.895 ms
Read,all,50.180 ms
Read,all,58.665 ms
