Operation,Rows,Speed
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
Insert,1000,<function clickhouse_read at 0x0000024EAD520040>
