Operation,Rows,Speed
Insert,100,344.577 ms
Insert,100,328.735 ms
Insert,100,326.443 ms
Insert,100,344.347 ms
Insert,100,379.546 ms
Insert,100,387.474 ms
Insert,100,371.295 ms
Insert,100,337.782 ms
Insert,100,374.900 ms
Insert,100,443.541 ms
Insert,100,338.742 ms
Insert,100,329.169 ms
Insert,100,321.932 ms
Insert,100,328.389 ms
Insert,100,337.049 ms
Insert,100,366.444 ms
Insert,100,379.945 ms
Insert,100,378.986 ms
Insert,100,394.448 ms
Insert,100,417.081 ms
Insert,100,386.760 ms
Insert,100,401.021 ms
Insert,100,420.969 ms
Insert,100,421.024 ms
Insert,100,391.722 ms
Insert,100,423.440 ms
Insert,100,424.907 ms
Insert,100,386.465 ms
Insert,100,393.786 ms
Insert,100,388.431 ms
Insert,100,464.976 ms
Insert,100,499.341 ms
Insert,100,542.086 ms
Insert,100,432.795 ms
Insert,100,399.034 ms
Insert,100,435.754 ms
Insert,100,434.552 ms
Insert,100,419.387 ms
Insert,100,369.309 ms
Insert,100,428.906 ms
Insert,100,423.668 ms
Insert,100,388.533 ms
Insert,100,374.386 ms
Insert,100,392.634 ms
Insert,100,415.714 ms
Insert,100,425.067 ms
Insert,100,435.467 ms
Insert,100,413.556 ms
Insert,100,387.519 ms
Insert,100,372.709 ms
Insert,100,356.754 ms
Insert,100,346.255 ms
Insert,100,381.571 ms
Insert,100,391.122 ms
Insert,100,367.873 ms
Insert,100,359.721 ms
Insert,100,398.263 ms
Insert,100,372.554 ms
Insert,100,374.528 ms
Insert,100,399.426 ms
Insert,100,358.045 ms
Insert,100,357.564 ms
Insert,100,360.400 ms
Insert,100,358.056 ms
Insert,100,338.242 ms
Insert,100,338.582 ms
Insert,100,345.659 ms
Insert,100,365.599 ms
Insert,100,350.039 ms
Insert,100,356.923 ms
Insert,100,376.220 ms
Insert,100,384.879 ms
Insert,100,370.948 ms
Insert,100,378.408 ms
Insert,100,355.022 ms
Insert,100,358.796 ms
Insert,100,348.831 ms
Insert,100,350.099 ms
Insert,100,353.205 ms
Insert,100,359.146 ms
Insert,100,363.815 ms
Insert,100,344.695 ms
Insert,100,386.994 ms
Insert,100,397.078 ms
Insert,100,390.487 ms
Insert,100,392.307 ms
Insert,100,389.351 ms
Insert,100,361.435 ms
Insert,100,401.727 ms
Insert,100,363.537 ms
Insert,100,343.762 ms
Insert,100,347.499 ms
Insert,100,342.623 ms
Insert,100,367.428 ms
Insert,100,357.536 ms
Insert,100,356.948 ms
Insert,100,363.136 ms
Insert,100,431.413 ms
Insert,100,410.212 ms
Insert,100,389.088 ms
