Operation,Rows,Speed
Read,all,189.760 ms
Read,all,166.230 ms
Read,all,182.905 ms
Read,all,184.088 ms
Read,all,168.583 ms
Read,all,177.628 ms
Read,all,178.700 ms
Read,all,168.229 ms
Read,all,171.226 ms
Read,all,173.916 ms
Read,all,172.695 ms
Read,all,171.793 ms
Read,all,178.292 ms
Read,all,168.731 ms
Read,all,174.068 ms
Read,all,166.542 ms
Read,all,175.080 ms
Read,all,173.307 ms
Read,all,184.201 ms
Read,all,176.582 ms
Read,all,174.587 ms
Read,all,176.365 ms
Read,all,165.312 ms
Read,all,175.525 ms
Read,all,185.368 ms
Read,all,181.996 ms
Read,all,181.341 ms
Read,all,180.622 ms
Read,all,172.626 ms
Read,all,168.627 ms
Read,all,173.540 ms
Read,all,163.288 ms
Read,all,169.715 ms
Read,all,172.525 ms
Read,all,181.386 ms
Read,all,171.798 ms
Read,all,178.154 ms
Read,all,169.608 ms
Read,all,166.001 ms
Read,all,173.371 ms
Read,all,170.312 ms
Read,all,166.726 ms
Read,all,169.900 ms
Read,all,167.068 ms
Read,all,174.995 ms
Read,all,169.262 ms
Read,all,168.048 ms
Read,all,180.563 ms
Read,all,168.546 ms
Read,all,170.318 ms
