Operation,Rows,Speed
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
Insert,1000,0.000 ms
